username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Law Murray 🥳,66042578,LA County,2023-01-23 02:44:12,"NFC teams that have made an NFC Championship in 21st century:

49ers
Eagles

Giants
Bears
Packers
Vikings
Falcons
P… https://t.co/KvRAYdjW3q",0,Twitter Web App,
Kevin Strauss,19613007,Los Angeles,2023-01-23 02:40:02,Does Dak’s playoff win against Seattle where the Seahawks scored last count as one of his “20 game-winning drives i… https://t.co/LNbgBEAHvA,0,Twitter for iPhone,
David Llama,47884892,"Los Angeles, CA",2023-01-23 02:10:28,"@Mikespins yes, hope the seahawks get back to having a savage defense in the future but looks like the nfc is your for a while",0,Twitter for iPhone,
LML CHARGERS (4-0)⚡️👀⚡️,1611938586563153921,"Los Angeles, CA",2023-01-23 01:43:17,@LML_Seahawks with helppp,0,Twitter for iPhone,
Spin Cycle,1215090278228320257,"Los Angeles, CA",2023-01-22 23:58:40,@DWStraka49 What about Seahawks Action Green versus Cardinals red color rush on artificial turf? LOL,0,Twitter for Android,
jeff lebowski,1122171985797058560,"Los Angeles, California ",2023-01-22 23:21:21,Exactly 💯. Bills fans are crybabies. I use to think niners and Seahawks were annoying af. Bills top them 😂 https://t.co/rmtK7iZwb1,0,Twitter for iPhone,
Martin_Luther_Clean,177753703,Seattle to LA ,2023-01-22 22:53:27,@222vanessak Seahawks,0,Twitter for Android,
Joe Conner,705180463,Vegas/LA,2023-01-22 21:29:56,"@crisisjordan lol them losin a head to head to mean theyre better, Giants are a better team across the board, Seaha… https://t.co/5eZUHYCcpQ",0,Twitter for iPhone,
Nydia Woolf,1590346217694801920,Los Angeles,2023-01-22 21:08:28,"NFL Wild Card Saturday: Seahawks at 49ers BETTING PREVIEW [ TOP WAGERS + MORE] I CBS Sports HQ
https://t.co/vCw6I9Tsxm",0,Twitter Web App,
🥭kingprincess🥭#saveinsidejob,497211367,"Hollywood, Los Angeles",2023-01-22 20:18:51,unfortunately i have too much seahawks gear to not rep the team. it was bestowed upon me,0,Twitter for iPhone,
Lee Feldman,759091005547163648,los Angeles,2023-01-22 19:34:40,@ckparrot Seahawks d sucked though. Gimme Fangio and stop with the unproven guys,0,Twitter for iPhone,
Luke Braun,973237121438777347,"Los Angeles, CA",2023-01-22 19:27:11,@nanetegarces @skolActuary I would hope he's a little more willing to blitz. Experience in what the Seahawks ran th… https://t.co/0KWho1eeap,0,Twitter Web App,
Babykeemfan,1513386801343344640,"Compton, CA",2023-01-22 18:44:33,@KmaFr_ Goo Seahawks https://t.co/08YmYkl5mZ,0,Twitter for iPhone,
👑 AD,1163632268780474370,"Compton, CA",2023-01-22 18:22:18,Seahawks QB Coach Dave Canales Requested for Interview in AFC North https://t.co/tYh74hzVwb via @All_SeahawksFN,0,Twitter for iPhone,
Luke Braun,973237121438777347,"Los Angeles, CA",2023-01-22 17:55:28,"@skolActuary Interviewed for the job last time, a more aggressive fangio guy, earns a lot of credit imo for the two… https://t.co/HZDDdg2Qsv",0,Twitter for iPhone,
Dom,2450474556,"Los Angeles, CA",2023-01-22 17:09:10,@NickOlsonNFL @TylerIrelandNFL Seahawks had 14 INTs. Vikings had 15. We need to improve not repeat,0,Twitter for iPhone,
Dom,2450474556,"Los Angeles, CA",2023-01-22 17:06:36,@NickOlsonNFL Lol bro did you see the Seahawks defense this season?,0,Twitter for iPhone,
Eddie Francis,21140580,"Los Angeles, CA",2023-01-22 15:04:11,I was at the Seahawks NFC championship win again Carolina and I came home fully expecting to see a night full of hi… https://t.co/G0KrDcTRyW,0,Twitter for iPhone,
nesquik 🐰,728845823061037056,"Los Angeles, CA",2023-01-22 05:03:33,@kcbarreraa Weren’t u like a panther and Seahawks fan ?¿,0,Twitter for iPhone,
Joe Conner,705180463,Vegas/LA,2023-01-22 04:16:44,Slow up fam…the Giants better than Geno Smith and the Seahawks 😂😂 Focus on the Cowboys lol we different https://t.co/jKGMiAjRoC,0,Twitter for iPhone,
Max,1309129871453564930,"Los Angeles, CA",2023-01-22 03:39:19,@bykevinclark The Seahawks and titans both are really stale to me. Patriots permanent red jerseys would be good too. Too many teams in blue,0,Twitter for iPhone,
“…and the award goes to…”,295369165,"Los Angeles, California",2023-01-22 03:14:43,@ByronYoung24 I’m not saying beat. I’m saying look like you’re not even prepared. Example is the Seahawks last week… https://t.co/gKjTG4lXuN,0,Twitter for iPhone,
Genetic,783767937932857344,Los Angeles CA,2023-01-22 02:51:39,@NFL The Seahawks would have put up a better fight 100%,0,Twitter for iPhone,
Mbappé Better,290119862,Los Angeles,2023-01-22 02:30:17,@ajisreal Queue the handshake meme with Seahawks and Giants,0,Twitter for iPhone,
Rico Alexander,184906967,"Los Angeles, CA",2023-01-22 01:26:22,@GrandeRyan @SeahawksHaug @CorbinSmithNFL @Locked_Seahawks you think they are going to tank the team if brady doesn't come back?,0,Twitter Web App,
Jesse,762319514734297088,"Los Angeles, CA",2023-01-22 00:21:49,"Anyone who has a Lamar Seahawks a jersey swap, PLEASE SEND 🙏🏽",0,Twitter for iPhone,
Victor A.,1150936556825239552,"Los Angeles, CA",2023-01-22 00:17:17,@RotoSurgeon I still can’t believe the Seahawks passed on fuckin Creed Humphrey,0,Twitter for iPhone,
TOMMY,306550908,"Paramount, CA",2023-01-21 23:43:54,@bgmoralesss Seahawks should of not been in the playoffs and the cowboys are a fluke,0,Twitter for iPhone,
Smith,1326135753416597504,Dodger Stadium,2023-01-21 23:24:54,"Seahawks receive: Jalen Ramsey

Rams receive: Seahawks 2nd round pick (2023), Seahawks 3rd round pick (2024)",0,Twitter for iPhone,
Pharoaciouz,4784887832,"Los Angeles, CA",2023-01-21 23:21:58,"@DanClarkSports Rams, Seahawks, Cowboys, Packers, Alabama and Tom Brady",0,Twitter for Android,
Lee,293529712,"Los Angeles, CA",2023-01-21 23:01:57,@Simi_Fehoko The corgi has the seahawks winning last week.,0,Twitter for iPhone,
Trevor Cash,1170687874007797762,"Los Angeles, CA",2023-01-21 22:29:56,@Schultz215Dan @FirstTake @stephenasmith Now go look at those games. I guarantee that the games are a lot more hard… https://t.co/b1LWP2fSIS,0,Twitter for iPhone,
ShowRoom LA,1428062359445065730,"Los Angeles, CA",2023-01-21 21:37:38,"Seattle Seahawks Geno Smith |

Wearing Chrome Hearts Trucker w/ Chrome Hearts Camo Zip-Up layered by Supreme Fur Bo… https://t.co/FmymDI2AJz",0,Hootsuite Inc.,
Joseph,1539620872100597761,"Los Angeles, CA",2023-01-21 21:15:59,@sdh392 @LombardiHimself But the Seahawks didn’t 😏,0,Twitter for iPhone,
JuJu,1104797277669941248,"Los Angeles, CA",2023-01-21 20:23:00,@ClappedDan @__sb2020__ @defytalkcowboys It was the Seahawks,0,Twitter for iPhone,
Dr. Chris Torn and Frayed Wilhelm,2680865160,"Los Angeles, CA",2023-01-21 19:30:06,"@MnNiceFC At one point I was hoping the Seahawks would hire him as their coach.

So I have to congratulate them eve… https://t.co/tkmsbnhYrq",0,Twitter Web App,
Lexus,81234664,"Los Angeles, CA",2023-01-21 17:12:08,@AnnieAgar I was going to reference Seahawks but I’ll just say “Les Ryde”.,0,Twitter for iPhone,
NFL Guru Joe ,532819897,"Long Beach, CA",2023-01-21 17:08:06,"@NFLFilms @charless_94 @49ers This is why PFF is garbage 

“Bosa had 0 pressures against the Seahawks”

Idk what th… https://t.co/pygsegOxvI",0,Twitter for iPhone,
Riley G,234163618,"Los Angeles, CA",2023-01-21 16:03:42,@ESPNStatsInfo The 49ers did it literally just a week ago against the Seahawks lol,0,Twitter for iPhone,
Jay-Ticker,2837529962,"Los Angeles, CA",2023-01-21 15:42:12,@HarryBerezin @NinersNation Dear Boomer. No body likes the Cowboys. Of course these stats are accurate. The Seahawk… https://t.co/AMmtrhdK54,0,Twitter for iPhone,
Jay-Ticker,2837529962,"Los Angeles, CA",2023-01-21 15:32:58,@49ersBBQsnob Just like them Seahawks found out in that 2nd half.,0,Twitter for iPhone,
JonnyPatriot,949073053,"Los Angeles, CA",2023-01-21 14:25:38,@Seahawks @12s Great season!  Now go get more Defensive help and a QB that will lead us back to the Super Bowl!,0,Twitter for Android,
Live News Update,1600491102053736452,los angeles,2023-01-21 11:47:53,"NFL Playoff Predictions for Wildcard Weekend: 49ers vs Seahawks, Cowboys vs Buccaneers, Bills vs Dolphins and more… https://t.co/zF6xHWkPxS",0,Twitter Web App,
Floyd Strickland,1578434075425050624,"Los Angeles, CA",2023-01-21 08:56:46,@Citizen510 @TheRealWaylo @JL_Chapman Two of the 9ers wins came against a bad Seahawks team. Lol. One came against… https://t.co/qAQswBrUln,0,Twitter for iPhone,
ladymissmegan,735005968606466050,"Eagle Rock, Los Angeles",2023-01-21 05:43:17,"I've just hated the Cowboys longer than the Seahawks, but I hate them both, PASSIONATELY!!!! https://t.co/NmnDCDWXDX",0,Twitter for Android,
Rico Alexander,184906967,"Los Angeles, CA",2023-01-21 05:21:03,@SeahawksHaug @CorbinSmithNFL @Locked_Seahawks what does brady have to do with anything,0,Twitter Web App,
Breaking News Update,1599995142194302976,los Angeles,2023-01-21 04:37:58,"NFL Playoff Predictions for Wildcard Weekend: 49ers vs Seahawks, Cowboys vs Buccaneers, Bills vs Dolphins and more… https://t.co/Rynh6EHZn0",0,Twitter Web App,
Allen Sales,818080537,"Los Angeles, CA",2023-01-21 04:03:13,@NinersNation Must be new fans. Seahawks werent even in the division until 2002. The Rams and Cowboys are the 49ers biggest rivals.,0,Twitter for iPhone,
Spin Cycle,1215090278228320257,"Los Angeles, CA",2023-01-21 01:56:11,@NFLonBread The Seahawks are not a good football team.,0,Twitter for Android,
J Dubb,804980246449504256,"Compton, CA",2023-01-20 23:48:34,@jacobsports12 @PlayoffShai @TheNBACentral I’m from Seattle and a Seahawks fan but Seattle peoples hatred of OKC is… https://t.co/hQBCTFzKrj,0,Twitter for iPhone,
Deandor the Relentless,2331035814,"Los Angeles, CA",2023-01-20 23:11:36,@OurSf49ers Hasselbeck also chose Seahawks to defeat the 49ers last week😂,0,Twitter for iPhone,
NFL Network,19362299,"Inglewood, CA",2023-01-20 22:55:30,"Larry Bevans is a devoted Seahawks fan who travels across the country and internationally for games.

He is a devot… https://t.co/Ozwis97xzk",12,Twitter Media Studio,
ِ,1463703363946631170,"Los Angeles, CA",2023-01-20 20:48:28,@washedtae @LakeShow4Life9 Seahawks own JC https://t.co/RWpDrCRRZu,0,Twitter Web App,
Michael Shea,4841325205,"Los Angeles, CA",2023-01-20 20:35:05,@CottonConniee @beckarabecka @dannyoneil Broncos fans. Who were loudly proclaiming a long playoff run after landing… https://t.co/123i3NZksB,0,Twitter for iPhone,
Mina Kimes,95975081,"Los Angeles, CA",2023-01-20 20:01:25,Good explanation for some of the Seahawks' offensive struggles down the stretch here https://t.co/jDAiyk7kAr,7,Twitter Web App,
R Dot Thornton,243006942,"Hollywood,CA",2023-01-20 19:12:26,@316chrris @BloggingTheBoys Playoff Seahawks &gt; Playoff Cowboys,0,Twitter for Android,
Joshua C Byfield,1300940674783539200,"Los Angeles, CA",2023-01-20 18:27:56,@RSherman_25 @GenoSmith3 Team-friendly deal wishes being thrown around by Seahawks fans who really don't want to pa… https://t.co/MR9vYyc77u,0,Twitter for Android,
Jesse,762319514734297088,"Los Angeles, CA",2023-01-20 18:05:10,@Devoted2DET Seahawks aren’t taking Murphy if Carter is there,0,Twitter for iPhone,
im 30.😩,633837556,Los Angeles CA ,2023-01-20 07:03:32,"Check out Smoking Heavy in Warzone 2 https://t.co/jgswkPmexq

#Warzone2 #DMZ #AlMazrah #CallOfDuty #Warzone… https://t.co/3DNIrKpnW4",0,Twitter for iPhone,
im 30.😩,633837556,Los Angeles CA ,2023-01-20 07:01:28,"Check out Smoking Heavy in Warzone
https://t.co/jgswkPmexq

#Warzone2 #DMZ #AlMazrah #CallOfDuty #Warzone #Rebirth… https://t.co/WbkcT9KZ4l",0,Twitter for iPhone,
Jeff Ball,15918409,"Los Angeles, CA",2023-01-20 03:10:36,@MithMuel @Altostrata Remember the Seadderol Seahawks? :),0,Twitter Web App,
SoCalTwelve,1361738394729021441,"Long Beach, CA",2023-01-20 00:33:22,@MikeLefko @SeattleSports @WymanAndBob didn't disappoint... we're lucky as fans to have a GM and HC like the @Seahawks !!!,0,Twitter Web App,
Roxanne Lowell,1590348649459875840,Los Angeles,2023-01-19 20:04:53,"Buccaneers hold off Seahawks in Munich [Full Game Recap] | CBS Sports HQ
https://t.co/cHENN9ynks",0,Twitter Web App,
MarinersDynasty,1422751232368599040,"Los Angeles, CA",2023-01-19 19:37:40,@herbertTDpass @YandhiSon @jacobsports12 Random ass question but why do so many Chargers and Seahawks fans get along so well 😭,0,Twitter for iPhone,
🅱️anny 🧨🎇,1488691403970416645,"Los Angeles, CA",2023-01-19 19:00:06,@doconnell2000 We both own the Seahawks,0,Twitter for iPhone,
The Man from U.N.L.T.D.,890078126,Los Angeles,2023-01-19 18:49:25,@MykHip @CBSSports @Seahawks And Jeff Bryant and Jacob Green,0,Twitter for iPhone,
Troy Christian,24639011,Los Angeles,2023-01-19 16:25:18,@ItzGetty Yep - but the Seahawks have worked their way up there too. But Dallas - can’t wait to destroy them Sunday!,0,Twitter for iPhone,
m🧃,3855125353,"Long Beach, CA",2023-01-19 16:17:54,@tylerjschoon I think next year when bosa is healthy they’re gonna be a amazing 1 2 punch. Seahawks had a healthy d… https://t.co/ILZY1pVCbE,0,Twitter for iPhone,
Kendell Hollowell,2741072864,"Los Angeles, CA",2023-01-19 12:21:53,"Kyle Shanahan scheming people open. The Seahawks are in Cover 2, the corner-post route from Brandon Aiyuk takes awa… https://t.co/09hjE7EqQj",1,Twitter for iPhone,
VonAllen Sports (SPQVAS),1075636822561173504,"West Hollywood, CA",2023-01-19 06:16:42,"@OfEarth_ @AllClassicGames @JoeAtWork87 @NFL_DovKleiman @UpAndAdamsShow Yep, that's all it takes. That's why the Ra… https://t.co/XBXfd3sTfH",0,Twitter Web App,
Allen Sales,818080537,"Los Angeles, CA",2023-01-19 06:13:01,@forsythe2150 @Michael_Fabiano @lindsay_rhodes @SiriusXMFantasy Lol. You dont have a clue. So because the 49ers do… https://t.co/zVOlLpSxe6,0,Twitter for iPhone,
Ramblin' Fan,118591519,"Los Angeles, CA",2023-01-19 05:56:40,"Seahawks shrewdly set the price for the LA Rams at this key position for the offseason
#LARams #RamsHouse #Seahawks… https://t.co/lOetomFAkP",1,Twitter Web App,
Ramblin' Fan,118591519,"Los Angeles, CA",2023-01-19 05:55:25,"Seahawks shrewdly set the price for the LA Rams at this key position for the offseason
#LARams #RamsHouse #Seahawks… https://t.co/NRSbPf9SDi",0,Twitter Web App,
Ryan Riddle,21638171,"Redondo Beach, CA",2023-01-19 05:29:46,@Ryan_Boser Seahawks though,0,Twitter for iPhone,
Carlos Silva,1084238069920714752,"Long Beach, CA",2023-01-19 03:48:21,@yohawkgawk @Seahawks @JayMy_31 Mason Crosby clears,0,Twitter for iPhone,
corporate Topher,297160548,"Montebello, CA",2023-01-19 03:38:27,@CJE_NFL Seahawks or Ravens maybe Jets.,0,Twitter for iPhone,
Genetic,783767937932857344,Los Angeles CA,2023-01-19 02:17:35,@parsonsenjoyer @yohawkgawk @Seahawks @JayMy_31 Isn’t that the guy that went 1-5 in PATs on Monday?,0,Twitter for iPhone,
Breaking News Update,1599995142194302976,los Angeles,2023-01-19 01:17:24,"Seahawks kicker Jason Myers gets 4-year contract extension #NFL #Football
https://t.co/SvrujtEYhL",0,Twitter Web App,
Victor C.R.,2658280189,"Long Beach, CA",2023-01-18 23:46:09,@SEASportDiaries I'd be interested for the Seahawks and Kraken,0,Twitter for Android,
SoCalTwelve,1361738394729021441,"Long Beach, CA",2023-01-18 23:37:41,"@freezesports1 I think the franchise says ""no"" and you lost this particular fan at ""Seahawks get""",0,Twitter Web App,
Phillip Zamora,1054929335256199168,"Los Angeles, CA",2023-01-18 23:04:20,"@Adeezytalks @ws_kushdaddy @PFF_Moo Since then we have played and beaten the Chargers, Dolphins, Seahawks and Bucs… https://t.co/7FbV0Hld2h",0,Twitter for iPhone,
juan medina,993013049383571456,"Bell, CA",2023-01-18 22:32:29,Seahawks you guys want carr and Renfrow? Both younger 😂🤷🏻‍♂️ https://t.co/UpOHjDRQ3h,0,Twitter for iPhone,
Allen Sales,818080537,"Los Angeles, CA",2023-01-18 22:14:18,"@LAR4Life Facts bro. People think because the 49ers do it every team does it. Y’all really think the Panthers, Falc… https://t.co/6lweLj7C1K",0,Twitter for iPhone,
Jesse,762319514734297088,"Los Angeles, CA",2023-01-18 22:06:54,@aveleyrahawk Your opinion isn’t gonna change based on what I say and my opinion isn’t gonna change based on what y… https://t.co/tKUJ9YimKN,0,Twitter for iPhone,
Jesse,762319514734297088,"Los Angeles, CA",2023-01-18 22:00:47,"@HoodieHopkinss @alexisamenace Ya it would prob be 
6 Herbert 
7 dak 
8 geno

My Seahawks bias had to show up ofc 😂",0,Twitter for iPhone,
Dee Eleven,1539365660,"Los Angeles, CA",2023-01-18 21:57:20,"@jshore12 @BobbyBeltTX @1053SS @rjchoppy @Peyton_Russell1 And we (them Boys) are the best team the 49ers, Brock Pur… https://t.co/Y3tLa1DvhM",0,Twitter Web App,
MyLASports,1536697202776612864,"Los Angeles, CA ",2023-01-18 21:38:39,"Rams 2023 opponents:

at/vs. 49ers
at/vs. Seahawks
at/vs. Cardinals
vs. Commanders
vs. Eagles
vs. Browns
vs. Steele… https://t.co/dz4EKOfD2u",0,Twitter Web App,
Jesse,762319514734297088,"Los Angeles, CA",2023-01-18 21:37:59,"@aveleyrahawk Trolling aside, whether u think Herbert is better or not, the gap between him and hurts isn’t even cl… https://t.co/FkB1qQz33J",0,Twitter for iPhone,
Dan LaRoy,1387519042869551105,"Los Angeles, CA",2023-01-18 20:23:31,@SwanSongNC Purdys 4 are Seahawks x2 dolphins and bucs. Jimmy's 2 are Seahawks and chargers. The 1 loss was chiefs.,0,Twitter for Android,
JL,2947583396,"Los Angeles, CA",2023-01-18 18:47:16,@freezesports1 Seahawks,0,Twitter for iPhone,
LA 49er fan,1672366992,"Los Angeles, CA",2023-01-18 16:47:47,@kingjownson @NFL @brockpurdy13 @pepsi Is he in the Seahawks? 🤡,0,Twitter for iPhone,
HUFANGA STAN!!!,1901054311,Long Beach CA,2023-01-18 16:43:12,@All49ersFN @TedH6 Good recap love how they adjusted at halftime and put their foot on the Seahawks necks like we expected them to,0,Twitter for Android,
Final4Sports,1444307347636056068,"Los Angeles, CA",2023-01-18 16:33:57,"Patriots $80
Titans $75
Bucs $60
Seahawks $52
Eagles $45
WFT $40
Panthers $40
Cowboys $40
Texans $32
Ravens $28
Bro… https://t.co/Z048v9SeyL",0,Twitter for iPhone,
J Franco,786052960052613120,"Santa Monica, CA",2023-01-18 15:46:16,@freezesports1 The @Seahawks …. The Seattle Seahawks say no.,0,Twitter for iPhone,
R Dot Thornton,243006942,"Hollywood,CA",2023-01-18 10:07:24,"@artmoreorless @danorlovsky7 @dallascowboys The Seahawks could have beaten Dallas, and Geno could have outplayed Da… https://t.co/O8knOucN9H",0,Twitter for Android,
Jae R Love,1306059910895943681,"Los Angeles, CA",2023-01-18 08:06:10,NFL Mock Draft 2023: Seahawks pass on QB with Russell Wilson ... - Sporting News https://t.co/O3iCLWlxuN NFL Mock D… https://t.co/nmSgZyNyxK,0,IFTTT,
Victor A.,1150936556825239552,"Los Angeles, CA",2023-01-18 07:01:15,@MarinoNFL need him in da green/blue @Seahawks,0,Twitter for iPhone,
Sheeeesh 🚫🧢,1570502490885619713,Staples Center,2023-01-18 05:08:13,Seahawks fan raps about Geno Smith in Chinese Restaurant 💯💯💯🥶🥶🥶 https://t.co/RoO31GgIyr,0,Twitter for Android,
Andrew Bryant 🍟,206065302,"Los Angeles, CA",2023-01-18 04:57:02,@Seahawks you know what to do on April 27 https://t.co/VyVrcFiLCL,0,Twitter Web App,
im 30.😩,633837556,Los Angeles CA ,2023-01-18 04:36:38,"I’m live on Twitch - Watch me at https://t.co/m5YzAlnc1D

#Warzone2 #DMZ #AlMazrah #CallOfDuty #Warzone #Rebirth… https://t.co/uhgBMGaNbL",0,Twitter for iPhone,
im 30.😩,633837556,Los Angeles CA ,2023-01-18 04:35:21,"We out here! 
Check out Smoking Heavy With Hot Drops https://t.co/jgswkPmexq

#Warzone2 #DMZ #AlMazrah #CallOfDuty… https://t.co/DEBdS9Vvgo",0,Twitter for iPhone,
Brandon Franks,26397206,"Los Angles, CA ",2023-01-18 02:42:51,"@Hogston10 @ColtsFanCole Best jerseys in tribe NFL are Seahawks, Bengals, Rams, Vikings, Cowboys, Steelers, Titans,… https://t.co/bPlTxrVDh5",0,Twitter for iPhone,
GangGangHODL 💎🙌,1370295461567893512,"Los Angeles, CA",2023-01-18 02:11:51,"@LombardiHimself Seahawks rivalry, Cowboys rivalry: How many teams do the niners hate?? 😂

Answer: all 31 others 😂",0,Twitter for iPhone,
ScratchGolferSpence,3016604140,"Los Angeles, CA",2023-01-18 01:40:43,"@knbrmurph I’m 39 &amp; grew up hating the Cowboys b/c of those ‘92-94 NFC Title Games, then Favre and the Packers afte… https://t.co/g3cXRJgVl6",0,Twitter for iPhone,
Glory (9-8),887282897685684226,"Los Angeles, CA",2023-01-17 23:27:21,"@menclapper @myownburneracnt @NFL @Seahawks @pepsi @_Tariqwoolen nah it’s true, tariq woolen finally hit the rookie… https://t.co/EZVzS2X3OA",0,Twitter for iPhone,
Final4Sports,1444307347636056068,"Los Angeles, CA",2023-01-17 22:57:36,"4 box mosaic NFL PYT ⬇️🏈

Steelers $130
Falcons $100
Patriots $90
Titans $85
Bucs $70
Chiefs $60
Seahawks $57
Packe… https://t.co/ycZqVSzHUZ",1,Twitter for iPhone,
Dan LaRoy,1387519042869551105,"Los Angeles, CA",2023-01-17 19:58:11,#49ers postseason has a chance to be all rivalry games. They played division rival Seahawks. Now 49ers/cowboys one… https://t.co/f3p6ujAFsu,0,Twitter for Android,
Alvarengutan,3265818067,"Bell, CA ",2023-01-17 19:48:48,@_jjaaasss This feels disrespectful you could’ve mentioned how the 49ers winning got you Starbucks today why you go… https://t.co/u82WlcsJzM,0,Twitter for iPhone,
Pulsed Energy Tech,314007727,"Los Angeles, CA",2023-01-17 17:46:43,"Seahawks talk NFL, Athletic Training &amp; Pulsed Energy PEMF - https://t.co/gxIkVyiW3B https://t.co/CFFhRuKwBE",0,Mailchimp,
JonnyPatriot,949073053,"Los Angeles, CA",2023-01-17 17:35:06,@SONTSeattle Geno had one great year and there will be a team that will sign him to a multi million dollar deal. As… https://t.co/AabARWECaG,0,Twitter for Android,
jasmin,1073702214848237569,"Los Angeles, CA",2023-01-17 17:10:06,The Seahawks losing Saturday got me free Starbucks today 🤝,0,Twitter for iPhone,
Allen Sales,818080537,"Los Angeles, CA",2023-01-17 17:00:56,@ShaunAndrus @ImmortalKingKay @HoldenCantor Only new fans would say that. Both Rams and 49ers are original NFC west… https://t.co/chx9Nav8Nd,0,Twitter for iPhone,
"Edgar Salmingo, Jr. ✌️",234174988,"Los Angeles, CA",2023-01-17 16:01:24,@zach_mcmahan_ That’s what people thought would happen in the Lions and Seahawks games.,0,Twitter for iPhone,
Andrew Siciliano,27821859,Los Angeles,2023-01-17 15:02:16,"Updated 2023 @NFL Draft order after Super Wild Card Weekend.👇🏻

19. Lions
20. Seahawks
21. Chargers
22. Ravens
23.… https://t.co/caTwk9kAT0",3,TweetDeck,
